Data;Evaporacao;Insolocao totalh;Precipitação Taotalmm;Temperatura MaximaC;Temperatura MediaC;Temperatura minimaC;Umidade do relativa do ar;Velocidade media vento;NivelJusEclusa;NivelStaIzabel;NivelStaVitoria;NivelMonEclusa
29/1/1979;7,9;12,7;null;27,2;18,72;12;64,75;0,366667;0,49;0,99;0,78;0,54
30/1/1979;6;12;null;25,5;null;14;null;null;0,25;1,10;0,58;0,35
31/1/1979;9,8;11,9;null;26,5;19,5;10,2;71,5;0,666667;0,43;0,90;0,75;0,59
1/2/1979;9,6;11,5;null;27,4;23,02;19;71,25;1,5;0,51;0,65;0,90;0,55
2/2/1979;8,4;10,2;null;31;25;21,4;73,75;1,466667;0,43;0,72;0,87;0,7
3/2/1979;9,2;11,7;null;30,5;25,34;22,2;71,75;1,633333;0,50;0,60;0,96;0,55
4/2/1979;8,8;11,3;null;30,6;25,28;22;75,75;1,3;0,43;0,45;1,09;0,37
5/2/1979;8,2;11,2;null;32,6;26,46;23;73,25;1,033333;0,33;0,75;0,81;0,56
6/2/1979;7,4;9,1;null;31,5;25,82;21,8;74,5;1,1;0,47;0,84;0,74;0,84
7/2/1979;3,2;3,6;null;30,5;23,66;21;88;0,566667;0,36;0,95;0,60;0,75
8/2/1979;6;10,7;null;28,2;22,08;18,8;72;0,666667;0,51;0,90;0,63;0,67
9/2/1979;5,5;3,8;null;28,5;23,78;17,8;79,5;1,2;0,38;0,78;0,79;0,64
10/2/1979;5,5;7,2;null;30,5;25,78;23;82,5;1,133333;0,52;0,71;0,77;0,67
11/2/1979;5,2;8,2;null;33,7;27,02;23,4;79,25;0,5;0,40;0,85;0,73;0,84
12/2/1979;1,3;0,8;null;27,5;24,5;22;87;0,233333;0,28;0,89;0,70;0,88
13/2/1979;5,4;10,8;null;31,4;24,28;20,4;74;0,633333;0,34;0,99;0,58;0,75
14/2/1979;5,1;11,9;null;29,6;21,68;16,6;100;0,366667;0,43;0,85;0,61;0,68
15/2/1979;8,2;11,4;null;28,6;22,72;17,8;74,25;0,833333;0,39;0,78;0,68;0,71
16/2/1979;9,8;10,5;null;28;23,4;18,8;70;1,6;0,59;0,72;0,63;0,69
17/2/1979;8,4;3,4;null;27,5;24,22;22;72,25;1,5;0,44;0,60;0,66;0,56
18/2/1979;1,9;1,3;null;25,5;22,46;21;89,5;1,1;0,38;0,88;0,56;0,84
19/2/1979;2,1;5,4;null;24;21,24;19,6;93,25;0,8;0,44;1,17;0,22;0,87
20/2/1979;4,6;10,5;null;27,6;21,2;17,8;79,75;0,766667;0,42;1,01;0,39;0,76
21/2/1979;4,2;8;null;26,5;19,66;16,8;79,5;0,366667;0,43;0,94;0,46;0,76
22/2/1979;4,2;8;null;26,5;19,66;16,8;79,5;0,366667;0,38;0,70;0,65;0,68
23/2/1979;9,9;7,5;null;26;20,96;12,4;69;1,133333;0,48;0,36;0,85;0,73
24/2/1979;5;7,4;null;29,2;24,28;21,8;81,25;1,066667;0,33;0,79;0,61;0,79
25/2/1979;7,2;1;null;29;24,52;21,8;86;0,333333;0,31;0,80;0,60;0,84
26/2/1979;3,6;12;null;30;22,04;15,8;83,25;0,466667;0,48;0,89;0,56;0,93
27/2/1979;5,4;11,6;null;29,6;23,68;17,4;81,25;0,8;0,46;0,68;0,74;0,63
28/2/1979;5,1;7,3;null;27,2;21,46;18,8;73;0,566667;0,21;0,99;0,48;0,99
1/3/1979;5;11,2;null;23,5;18,06;11,4;67,5;0,733333;;1,05;0,33;
2/3/1979;7,2;10,7;null;24,5;19,62;12,8;68,5;0,733333;;0,76;0,58;
3/3/1979;7,8;10,5;null;29;23,68;18,6;74,25;1,233333;;0,45;0,79;
4/3/1979;6,7;9,6;null;30,1;24,94;21,8;75,5;1,233333;;0,35;0,83;
5/3/1979;1,8;0,5;null;28;23,44;21,4;90,25;0,433333;;0,50;0,72;
6/3/1979;3,3;5,4;null;29,5;24,86;21,4;84,25;0,733333;;0,66;0,66;
7/3/1979;3,2;0,6;null;26,5;19,86;10,8;85,25;0,9;;1,07;0,33;
8/3/1979;5,6;4,9;null;25;21,12;18;71,5;1,1;;0,85;0,49;
9/3/1979;4,4;0,2;null;22,3;20,86;20;77;0,9;0,68;0,97;0,37;0,99
10/3/1979;4,8;5;null;25;20,96;19;74;0,833333;0,65;0,85;0,42;0,88
11/3/1979;7,9;7,1;null;24,3;19,14;15,4;71;0,966667;0,51;0,76;0,43;0,77
12/3/1979;3,5;0,2;null;23;20,18;16,5;79,25;1;0,59;0,70;0,48;0,7
13/3/1979;2;0;null;21,5;19,88;17,8;91,5;0,9;0,45;0,60;0,55;0,62
14/3/1979;1;0;null;22;19,4;17,6;94,75;0,833333;0,42;0,66;0,58;0,64
15/3/1979;3,5;9,5;null;24;19,88;16,2;85,25;0,6;0,43;0,76;0,53;0,76
16/3/1979;5,3;9;null;25,8;21,38;15,9;77,25;1,166667;0,52;0,71;0,53;0,69
17/3/1979;5,2;9,8;null;26,5;21,62;17,4;81,75;0,733333;0,40;0,73;0,56;0,68
18/3/1979;7;9,8;null;27,5;22,58;18,8;81,75;1,1;0,48;0,65;0,59;0,62
19/3/1979;5;10,4;null;27,8;23,04;19,6;76,5;1,133333;0,43;0,49;0,70;0,41
20/3/1979;4,5;9,5;null;29,2;23;17,8;81;0,933333;0,43;0,51;0,74;0,45
21/3/1979;2,5;6,8;null;30,6;23,44;17,8;88,5;0,466667;0,39;0,64;0,66;0,57
22/3/1979;2,2;3,6;null;25,8;21,12;18,8;81;0,466667;0,55;0,86;0,45;0,84
23/3/1979;1,2;0,7;null;20,4;18,4;17,2;95,5;0,533333;0,43;0,92;0,41;0,94
24/3/1979;3;5,6;null;23,2;18;14;84,25;0,566667;0,36;0,96;0,38;0,95
25/3/1979;3,4;6,4;null;23;18,88;14,2;75,25;0,466667;0,38;0,82;0,47;0,81
26/3/1979;4,2;8,3;null;23,6;18,3;13,8;75;0,666667;0,40;0,78;0,48;0,8
27/3/1979;4,2;6;null;24,2;18,2;12,4;82,75;0,533333;0,47;0,72;0,52;0,71
28/3/1979;2;4;null;23;18,16;16,4;82,5;0,466667;0,39;0,71;0,51;0,7
29/3/1979;2,8;10;null;25,5;18,3;11,4;79,75;0,266667;0,37;0,76;0,50;0,77
30/3/1979;3,6;9,5;null;25,5;18,58;13,2;74,75;0,866667;0,38;0,91;0,41;0,91
31/3/1979;4;6,8;null;23,8;19;17,4;78,75;0,4;0,49;0,70;0,53;0,68
1/4/1979;3,1;9,5;0;26,2;19,42;15,5;79,25;0,333333;0,29;0,69;0,59;0,69
2/4/1979;4;9,2;null;27,5;20,48;12,5;77,5;0,333333;0,48;0,80;0,45;0,83
3/4/1979;1,9;0;null;20,8;18,72;16,8;86,75;0,4;0,68;0,92;0,35;0,93
4/4/1979;1,5;0;null;20,5;16,74;14,8;93;0,366667;0,67;0,98;0,24;0,96
5/4/1979;0,8;0;null;17,6;14,88;12,6;96;0,633333;0,57;1,04;0,24;1,07
6/4/1979;1,7;1,1;null;18,2;14,64;12,8;90,25;0,8;0,54;1,03;0,23;0,99
7/4/1979;2,3;5,8;null;21,6;15,16;11,4;83,5;0,866667;0,51;0,97;0,29;0,95
8/4/1979;1,4;5;null;22,7;16,3;12;91,5;0,3;0,50;0,87;0,41;0,91
9/4/1979;3;4,8;null;23,8;17,2;10,2;88,25;0,366667;0,62;0,67;0,53;0,66
10/4/1979;2,6;3,4;null;22;18,2;15;79,75;0,3;0,39;0,77;0,49;0,78
11/4/1979;4;8,1;null;22;16,06;13,2;77,75;0,666667;0,56;1,01;0,31;1,04
12/4/1979;2,9;3,3;null;20,8;16,32;11;86;0,533333;0,61;0,83;0,38;0,83
13/4/1979;8,7;8,9;null;22,6;18,52;13;69,25;2,766667;0,66;0,64;0,52;0,61
14/4/1979;null;null;null;null;null;null;null;null;0,61;0,42;0,67;0,38
15/4/1979;3;4,3;null;26;21,24;18,4;81,25;0,9;0,64;0,27;0,73;0,13
16/4/1979;3;10,1;null;26,4;20,2;17,2;78;0,6;0,41;0,93;0,44;0,99
17/4/1979;1;0,3;null;23;18,24;14;91,25;0,2;0,44;0,78;0,54;0,77
18/4/1979;1,5;7,5;null;25;17,68;13,4;87,75;0;0,43;0,81;0,53;0,8
