Data;precipitacao;velocidademediavento;niveljuseclusa;nivelstaizabel;nivelstavitoria;nivelmoneclusa
29/01/1979;null;0,366667;0,49;0,99;0,78;0,54
30/01/1979;null;null;0,25;1,1;0,58;0,35
31/01/1979;null;0,666667;0,43;0,9;0,75;0,59
01/02/1979;null;1,5;0,51;0,65;0,9;0,55
02/02/1979;null;1,466667;0,43;0,72;0,87;0,7
03/02/1979;null;1,633333;0,5;0,6;0,96;0,55
04/02/1979;null;1,3;0,43;0,45;1,09;0,37
05/02/1979;null;1,033333;0,33;0,75;0,81;0,56
06/02/1979;null;1,1;0,47;0,84;0,74;0,84
07/02/1979;null;0,566667;0,36;0,95;0,6;0,75
08/02/1979;null;0,666667;0,51;0,9;0,63;0,67
09/02/1979;null;1,2;0,38;0,78;0,79;0,64
10/02/1979;null;1,133333;0,52;0,71;0,77;0,67
11/02/1979;null;0,5;0,4;0,85;0,73;0,84
12/02/1979;null;0,233333;0,28;0,89;0,7;0,88
13/02/1979;null;0,633333;0,34;0,99;0,58;0,75
14/02/1979;null;0,366667;0,43;0,85;0,61;0,68
15/02/1979;null;0,833333;0,39;0,78;0,68;0,71
16/02/1979;null;1,6;0,59;0,72;0,63;0,69
17/02/1979;null;1,5;0,44;0,6;0,66;0,56
18/02/1979;null;1,1;0,38;0,88;0,56;0,84
19/02/1979;null;0,8;0,44;1,17;0,22;0,87
20/02/1979;null;0,766667;0,42;1,01;0,39;0,76
21/02/1979;null;0,366667;0,43;0,94;0,46;0,76
22/02/1979;null;0,366667;0,38;0,7;0,65;0,68
23/02/1979;null;1,133333;0,48;0,36;0,85;0,73
24/02/1979;null;1,066667;0,33;0,79;0,61;0,79
25/02/1979;null;0,333333;0,31;0,8;0,6;0,84
26/02/1979;null;0,466667;0,48;0,89;0,56;0,93
27/02/1979;null;0,8;0,46;0,68;0,74;0,63
28/02/1979;null;0,566667;0,21;0,99;0,48;0,99
01/03/1979;null;0,733333;;1,05;0,33;
02/03/1979;null;0,733333;;0,76;0,58;
