Data;DventoSI;DventoSG;Precipitacao;velocidadedovento;Njus;Nsv;Nsi;Nmon
05/01/2021;58,8;123,81;0;2,366667;0,5989;;;0,736
06/01/2021;312;247,76;1,4;2,733333;0,8203;;;0,9893
07/01/2021;45,41;208,84;0;2,266667;0,8858;;;0,9802
08/01/2021;182,56;219,64;0;3,133333;0,8063;;;0,9145
09/01/2021;28,12;188,39;0;2,5;0,8446;;;1,0229
10/01/2021;150,27;170,99;0;3,433333;1,3111;;;1,4967
11/01/2021;67,97;43,36;0;4,233333;0,9825;;;1,1633
12/01/2021;154,04;134,53;32,7;2,6;0,7034;;;0,8422
13/01/2021;52,93;134,74;0,4;3,8;0,5486;;;0,6715
14/01/2021;200,04;235,25;0;4,633333;0,7863;;;0,925
15/01/2021;128,51;226,97;0;4,2;0,8114;;;0,9383
16/01/2021;236,67;229,37;38,2;3,333333;0,7648;;;0,8883
17/01/2021;166,71;119,2;25,3;2,433333;0,8398;;;0,9718
18/01/2021;119,47;134,13;0,5;3,133333;1,2486;;;1,3705
19/01/2021;65,52;39,22;0;1,933333;0,846;;;1,0327
20/01/2021;124,35;106,66;0;2,966667;0,6487;;;0,7646
21/01/2021;75,71;125,05;0;4,9;0,58;;;0,7087
22/01/2021;172,11;186,96;0;4,533333;0,8636;;;0,9953
23/01/2021;230,45;244,83;0;3,5;0,8577;;;1,0131
24/01/2021;132,52;149,44;0;2,266667;0,7109;;;0,8365
25/01/2021;202,16;191,89;0;2,133333;0,8207;;;0,9537
26/01/2021;159,87;172,53;0;2,6;1,2347;;;1,3614
27/01/2021;74,61;47,29;37,8;1,6;0,7649;;;0,9225
28/01/2021;82,53;56,33;53,2;2,5;0,6271;;;0,8008
29/01/2021;195,52;202,93;1,7;1,233333;0,6525;;;0,7881
30/01/2021;29,48;111,16;8,9;3,533333;0,7824;;;0,8934
31/01/2021;63,4;182,7;23,2;2,266667;0,8877;;;1,0181
01/02/2021;77,59;98,59;0,2;1,9;0,7542;;;0,8614
02/02/2021;101,76;122,77;2,2;1,633333;0,8064;;;0,9231
03/02/2021;197,49;180,98;12,2;2,033333;1,2309;;;1,3665
04/02/2021;127,42;167,1;17,4;4,166667;0,6857;;;0,8783
05/02/2021;89,98;42,51;3,9;4,366667;0,7313;;;0,9219
06/02/2021;191,51;207,05;0,2;2,6;0,5217;;;0,6443
07/02/2021;153,99;244,97;0;2,066667;0,5623;;;0,6962
08/02/2021;43,7;169,91;0;2,633333;0,5022;;;0,6684
09/02/2021;64,15;54,94;3,4;2,133333;0,4532;;;0,626
10/02/2021;137,74;163,15;2,4;3,2;0,4987;;;0,6607
11/02/2021;95,9;150,68;104,3;4,3;0,6241;;;0,7695
12/02/2021;137,26;156,87;0;2,733333;0,6381;;;0,792
13/02/2021;99,94;66,57;12,2;2,4;0,5429;;;0,6912
14/02/2021;127,23;224,02;3,1;1,066667;0,4984;;;0,6362
15/02/2021;148,36;180,29;2,7;2,533333;0,5241;;;0,633
16/02/2021;80,21;140,59;16,6;3,033333;0,589;;;0,7141
17/02/2021;62,9;171,63;1,6;2,133333;0,7691;;;0,9023
18/02/2021;177,53;217,27;3,9;2,133333;0,6937;;;0,8661
19/02/2021;205,59;227,64;1,8;3,233333;0,8996;;;1,0218
20/02/2021;219,73;220,59;0;2,2;0,7606;;;0,8743
21/02/2021;95,75;160,66;0;2,8;0,8092;;;0,9736
22/02/2021;52,63;125,05;0;2,466667;1,2141;;;1,3352
23/02/2021;213,03;263,78;4,9;1,6;0,7597;;;0,9296
24/02/2021;287,08;269,83;0,9;0,9;0,6892;;;0,8957
25/02/2021;271,28;254,47;0;1,666667;0,6373;;;0,7705
26/02/2021;291,8;262,17;0;2,833333;0,6545;;;0,7911
27/02/2021;234,07;215,57;0;3,366667;0,6347;;;0,7743
28/02/2021;216,95;224,09;0;4,833333;0,62;;;0,759
01/03/2021;132,75;275,2;0,4;5,433333;0,6027;;;0,7396
02/03/2021;252,03;226,23;3;2,466667;0,6364;;;0,7534
03/03/2021;250,34;256,59;0,4;3,033333;0,5973;;;0,7225
04/03/2021;304,85;278,99;37;1,133333;0,5256;;;0,6405
05/03/2021;223,17;217,32;35,6;3,733333;0,5509;;;0,6739
06/03/2021;229,08;209,67;5,4;2,566667;0,5836;;;0,6767
07/03/2021;68,72;96,83;0;1,9;0,1609;;;0,3477
08/03/2021;40,83;60,42;0;1,466667;0,4971;;;0,6426
09/03/2021;84,03;64,32;0;1,733333;0,5711;;;0,7194
10/03/2021;159,74;175,77;11;2,6;0,6792;;;0,7923
11/03/2021;152,17;123,17;0;2,066667;0,7315;;;0,8474
12/03/2021;122,21;94,53;0;1,433333;0,7033;;;0,8321
13/03/2021;179,92;183,84;0;2,333333;0,6875;;;0,7995
14/03/2021;144,97;217,51;0;2,266667;0,7788;;;0,8557
15/03/2021;170,01;215,38;0;1,866667;0,844;;;0,9473
16/03/2021;219,26;207,84;0;3,633333;0,6667;;;0,8362
17/03/2021;251,64;228,56;8,9;3,633333;0,7013;;;0,849
18/03/2021;245,31;213,98;0;2,433333;0,8766;;;1,0415
19/03/2021;77,98;140,78;0;2,133333;0,7074;;;0,8948
20/03/2021;136,53;121,38;0;4,433333;0,8914;;;1,0287
21/03/2021;196,37;210,59;49,3;2,666667;1,2133;;;1,3244
22/03/2021;134,09;173,5;0,9;2,433333;0,9582;;;1,1509
23/03/2021;54,25;25,74;0;2,233333;0,6033;;;0,7859
24/03/2021;86,64;107,19;6,9;2,8;0,6431;;;0,7996
25/03/2021;260,53;241,21;0;3,866667;0,6896;;;0,8404
26/03/2021;35,91;198,22;31,9;1,8;0,7725;;;0,9091
27/03/2021;233,81;236,75;11,5;2,6;0,7668;;;0,8989
28/03/2021;291,83;263,85;14,2;1,666667;0,6923;;;0,8181
29/03/2021;279,96;260,93;0,8;2,9;0,6826;;;0,8177
30/03/2021;243,72;226,75;1,3;2,866667;0,719;;;0,8639
31/03/2021;213,55;219,33;3,2;2,633333;0,645;;;0,8524
01/04/2021;75,36;181,63;0,3;2,666667;0,6067;;;0,7559
02/04/2021;38,12;56,03;7,3;1,933333;0,639;;;0,754
03/04/2021;30,6;116,75;15,8;3,7;0,6389;;;0,619
